地区,リーグ名,年度,部・ブロック,結果ページのURL,順位表ページのURL,形式,goalnote_tid,チームの区別,状態,根拠のURL,メモ,Claude確認,確認メモ,チーム数,チーム例,取得方法
第2地区,DUOリーグ,2024,グループD,https://www.goalnote.net/detail-schedule.php?tid=15652,https://www.goalnote.net/detail-standings.php?tid=15652,goalnote,15652,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=15652,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_15652_detail.htmlのtitleで2024年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,7,淵江・足立西・FC西巣鴨,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2024,グループE,https://www.goalnote.net/detail-schedule.php?tid=15652,https://www.goalnote.net/detail-standings.php?tid=15652,goalnote,15652,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=15652,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_15652_detail.htmlのtitleで2024年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,7,東洋大京北・豊南B・昭和第一B,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2025,グループA,https://www.goalnote.net/detail-schedule.php?tid=16985,https://www.goalnote.net/detail-standings.php?tid=16985,goalnote,16985,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=16985,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_16985_detail.htmlのtitleで2025年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,10,都立豊島A・淑徳巣鴨A・日大豊山C,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2025,グループB,https://www.goalnote.net/detail-schedule.php?tid=16985,https://www.goalnote.net/detail-standings.php?tid=16985,goalnote,16985,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=16985,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_16985_detail.htmlのtitleで2025年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,8,都立豊島B・巣鴨・淑徳巣鴨B,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2025,グループC,https://www.goalnote.net/detail-schedule.php?tid=16985,https://www.goalnote.net/detail-standings.php?tid=16985,goalnote,16985,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=16985,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_16985_detail.htmlのtitleで2025年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,8,足立学園・京華A・東洋大京北,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2025,グループD,https://www.goalnote.net/detail-schedule.php?tid=16985,https://www.goalnote.net/detail-standings.php?tid=16985,goalnote,16985,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=16985,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_16985_detail.htmlのtitleで2025年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,6,FC西巣鴨03・中大高・文京B,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2025,グループE,https://www.goalnote.net/detail-schedule.php?tid=16985,https://www.goalnote.net/detail-standings.php?tid=16985,goalnote,16985,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=16985,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_16985_detail.htmlのtitleで2025年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,6,竹早・足立西・城西B,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2026,グループA,https://www.goalnote.net/detail-schedule.php?tid=18409,https://www.goalnote.net/detail-standings.php?tid=18409,goalnote,18409,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=18409,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_18409_detail.htmlのtitleで2026年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,10,淑徳巣鴨A・駒込A・都立文京A,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2026,グループB,https://www.goalnote.net/detail-schedule.php?tid=18409,https://www.goalnote.net/detail-standings.php?tid=18409,goalnote,18409,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=18409,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_18409_detail.htmlのtitleで2026年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,8,昭和第一A・都立足立・筑波大附属,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2026,グループC,https://www.goalnote.net/detail-schedule.php?tid=18409,https://www.goalnote.net/detail-standings.php?tid=18409,goalnote,18409,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=18409,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_18409_detail.htmlのtitleで2026年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,8,城西A・都立足立新田・淑徳巣鴨B,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2026,グループD,https://www.goalnote.net/detail-schedule.php?tid=18409,https://www.goalnote.net/detail-standings.php?tid=18409,goalnote,18409,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=18409,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_18409_detail.htmlのtitleで2026年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,5,都立淵江・京華商業・豊南B,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2026,グループE,https://www.goalnote.net/detail-schedule.php?tid=18409,https://www.goalnote.net/detail-standings.php?tid=18409,goalnote,18409,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=18409,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_18409_detail.htmlのtitleで2026年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,6,獨協・城西B・都立向丘,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第3地区,第3地区ユースリーグ,2024,1部,https://www.juniorsoccer-news.com/post-1629009,https://www.juniorsoccer-news.com/post-1629009,独自サイト,,A・B・Cの表記あり,一部確認,https://www.juniorsoccer-news.com/post-1629009,ChatGPTは47948を1部/3部A/3部Bの共通URLと記載していたが実際は誤り。1部は最終順位のみ確認（試合ごとの結果ページ未特定）,ChatGPTの記載と違う,Gemini: post-1629009は2024年度の根拠URLとしてGeminiも提示。開いて確認したところ1部〜3部D全ブロックの最終順位が掲載されており有用だった,10,成立学園C／東京成徳B／都立高島,curl
第3地区,第3地区ユースリーグ,2024,2部A,https://junior-soccer.jp/kanto/tokyo/league/table/47948,https://junior-soccer.jp/kanto/tokyo/league/order/47948,独自サイト,,A・B・Cの表記あり,確認済み,https://junior-soccer.jp/kanto/tokyo/league/table/47948,ChatGPTは47948を1部/3部A/3部Bの共通URLと記載していたが実際に開くと見出しは【2部A】2024年度第3地区リーグユースリーグ。3ブロック共通ではなく2部A専用ページだった,ChatGPTの記載と違う,,7,岩倉／淑徳／都立青山,curl
第3地区,第3地区ユースリーグ,2024,2部B,https://www.juniorsoccer-news.com/post-1629009,https://www.juniorsoccer-news.com/post-1629009,独自サイト,,A・B・Cの表記あり,一部確認,https://www.juniorsoccer-news.com/post-1629009,ChatGPTは2部Bに触れていない。最終順位のみ確認（試合ごとの結果ページ未特定）,新たに発見,,7,駿台学園D／都立北園／都立戸山,curl
第3地区,第3地区ユースリーグ,2024,3部A,https://www.juniorsoccer-news.com/post-1629009,https://www.juniorsoccer-news.com/post-1629009,独自サイト,,A・B・Cの表記あり,一部確認,https://www.juniorsoccer-news.com/post-1629009,【板橋有徳】2024年度は3部Aに所属し6位（7チーム中）。ChatGPTは47948を3部Aの結果URLとしていたが誤り（47948は2部A）,ChatGPTの記載と違う,,7,國學院／Criacao Shinjuku／都立新宿,curl(WebSearchで一次発見→curlで本文取得)
第3地区,第3地区ユースリーグ,2024,3部B,https://www.juniorsoccer-news.com/post-1629009,https://www.juniorsoccer-news.com/post-1629009,独自サイト,,A・B・Cの表記あり,一部確認,https://www.juniorsoccer-news.com/post-1629009,ChatGPTは47948を3部Bの結果URLとしていたが誤り（47948は2部A）。最終順位のみ確認,ChatGPTの記載と違う,,7,海城／城北C／大智学園,curl
第3地区,第3地区ユースリーグ,2024,3部C,https://junior-soccer.jp/kanto/tokyo/league/table/50057,https://junior-soccer.jp/kanto/tokyo/league/order/50057,独自サイト,,A・B・Cの表記あり,確認済み,https://junior-soccer.jp/kanto/tokyo/league/table/50057,ChatGPTの記載どおり【3部C】2024年度第3地区リーグの戦績表,確認済み（ChatGPTの記載どおり）,,7,早稲田／城北D／都立第一商業,curl
第3地区,第3地区ユースリーグ,2024,3部D,https://junior-soccer.jp/kanto/tokyo/league/table/47953,https://junior-soccer.jp/kanto/tokyo/league/order/47953,独自サイト,,A・B・Cの表記あり,確認済み,https://junior-soccer.jp/kanto/tokyo/league/table/47953,ChatGPTの記載どおり【3部D】2024年度第3地区リーグの戦績表。都立板橋（有徳ではない別の都立高校）が5位で登場。板橋有徳と混同しないよう注意,確認済み（ChatGPTの記載どおり）,,6,駿台学園E／海城B／都立白鷗,curl
第3地区,第3地区ユースリーグ,2025,1部,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（駿台学園B優勝（T5昇格））。試合ごとの結果ページ・順位表は未特定,新たに発見,Gemini: 提示URL(seijogakko/club_news/29952)を確認したが日付不明の過去記事（2部優勝→1部昇格、感染症言及あり）で2025年度の記事ではない可能性が高い。2025年度情報は公式Wixのブログ記事から取得した,不明,駿台学園B優勝（T5昇格）,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,2部A,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（駿台学園C優勝／2位都立戸山）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,駿台学園C優勝／2位都立戸山,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,2部B,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（駿台学園D優勝／2位目白研心C）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,駿台学園D優勝／2位目白研心C,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,3部A,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（大東文化第一B優勝）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,大東文化第一B優勝,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,3部B,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（Criacao Shinjuku優勝）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,Criacao Shinjuku優勝,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,3部C,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（目白研心D優勝）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,目白研心D優勝,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2025,3部D,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,,独自サイト,,A・B・Cの表記あり,一部確認,https://kmnkzt1530.wixsite.com/youthleage/single-post/2025年度リーグ戦結果,公式Wixのブログ記事に最終結果のみ掲載（都立大山優勝）。試合ごとの結果ページ・順位表は未特定,新たに発見,,不明,都立大山優勝,urllib(Python、日本語スラッグをパーセントエンコードして取得)
第3地区,第3地区ユースリーグ,2026,1部,https://ws.eniblo.com/YZezPNf8HYgIbzABs3/,https://ws.eniblo.com/YZezPNf8HYgIbzABs3/ranks.html,独自サイト,,A・B・Cの表記あり,確認済み,https://kmnkzt1530.wixsite.com/youthleage,公式Wix(kmnkzt1530.wixsite.com/youthleage)からws.eniblo.comへのリンクをたどって実URLを特定。勝敗表(top)に加えranks.htmlに順位表あり,新たに発見,,10,目白研心B／成城／駿台学園C,curl(Wixトップ→eniblo実URLを正規表現抽出→ranks.htmlを取得)
第3地区,第3地区ユースリーグ,2026,2部A,https://ws.eniblo.com/6TRkWT3l4eqWypXPEz/,https://ws.eniblo.com/6TRkWT3l4eqWypXPEz/ranks.html,独自サイト,,A・B・Cの表記あり,確認済み,https://kmnkzt1530.wixsite.com/youthleage,公式Wix(kmnkzt1530.wixsite.com/youthleage)からws.eniblo.comへのリンクをたどって実URLを特定。勝敗表(top)に加えranks.htmlに順位表あり,新たに発見,,7,淑徳A／目白研心D／青山学院A,curl(Wixトップ→eniblo実URLを正規表現抽出→ranks.htmlを取得)
第3地区,第3地区ユースリーグ,2026,2部B,https://ws.eniblo.com/WNlqrd5NRPqtv9vxKw/,https://ws.eniblo.com/WNlqrd5NRPqtv9vxKw/ranks.html,独自サイト,,A・B・Cの表記あり,確認済み,https://kmnkzt1530.wixsite.com/youthleage,公式Wix(kmnkzt1530.wixsite.com/youthleage)からws.eniblo.comへのリンクをたどって実URLを特定。勝敗表(top)に加えranks.htmlに順位表あり,新たに発見,,7,クリアソン新宿A／目白研心C／海城A,curl(Wixトップ→eniblo実URLを正規表現抽出→ranks.htmlを取得)
第3地区,第3地区ユースリーグ,2026,3部A,https://ws.eniblo.com/vXwlUaacWCy9NaZ3D2/,https://ws.eniblo.com/vXwlUaacWCy9NaZ3D2/ranks.html,独自サイト,,A・B・Cの表記あり,確認済み,https://kmnkzt1530.wixsite.com/youthleage,公式Wix(kmnkzt1530.wixsite.com/youthleage)からws.eniblo.comへのリンクをたどって実URLを特定。勝敗表(top)に加えranks.htmlに順位表あり。都立板橋有徳はここではなく3部Dに所属（後述）,新たに発見,,6,渋谷教育学園渋谷／クラーク国際／成城B,curl(Wixトップ→eniblo実URLを正規表現抽出→ranks.htmlを取得)
第3地区,第3地区ユースリーグ,2026,3部B,https://ws.eniblo.com/6LfQ0YtO939PdhyS1P/,https://ws.eniblo.com/6LfQ0YtO939PdhyS1P/ranks.html,独自サイト,,A・B・Cの表記あり,確認済み,https://kmnkzt1530.wixsite.com/youthleage,公式Wix(kmnkzt1530.wixsite.com/youthleage)からws.eniblo.comへのリンクをたどって実URLを特定。勝敗表(top)に加えranks.htmlに順位表あり。都立板橋（有徳ではない）が5位で在籍。板橋有徳と混同注意,新たに発見,,6,城北B／岩倉C／クリアソン新宿B,curl(Wixトップ→eniblo実URLを正規表現抽出→ranks.htmlを取得)
第3地区,第3地区ユースリーグ,2026,3部C,https://ws.eniblo.com/4wp4WRHRPP2JDy9i58/,https://ws.eniblo.com/4wp4WRHRPP2JDy9i58/ranks.html,独自サイト,,A・B・Cの表記あり,確認済み,https://kmnkzt1530.wixsite.com/youthleage,公式Wix(kmnkzt1530.wixsite.com/youthleage)からws.eniblo.comへのリンクをたどって実URLを特定。勝敗表(top)に加えranks.htmlに順位表あり。Gemini提示のmetro.ed.jp/shinjuku-h記事(2026/4/11都立新宿vs都立上野2-2)で3部C開催を裏付け確認,新たに発見,Gemini: metro.ed.jp/shinjuku-h/activities/2026/04/3_3_c_2.html を確認。2026/4/11都立新宿vs都立上野2-2、【第3地区ユースリーグ3部C第2節】と明記されており2026年度3部Cの実在を裏付けた,6,岩倉D／都立新宿／都立第一商業,curl(Wixトップ→eniblo実URLを正規表現抽出→ranks.htmlを取得)
